date,ticker,volume,open,close,high,low,window_start,transactions
2025-01-02,NVDA,198247166,136.0,138.31,138.88,134.63,1735794000000000000,1567000
2025-01-03,NVDA,229322478,140.01,144.47,144.9,139.73,1735880400000000000,1745662
2025-01-06,NVDA,265377359,148.59,149.43,152.156,147.8201,1736139600000000000,2139591
2025-01-07,NVDA,351782174,153.03,140.14,153.13,140.01,1736226000000000000,3297980
2025-01-08,NVDA,227349948,142.58,140.11,143.95,137.56,1736312400000000000,1983811
2025-01-10,NVDA,207602514,137.45,135.91,139.92,134.22,1736485200000000000,1832777
2025-01-13,NVDA,204808914,129.99,133.23,133.49,129.51,1736744400000000000,1886121
2025-01-14,NVDA,195590485,136.05,131.76,136.38,130.05,1736830800000000000,1712995
2025-01-15,NVDA,185217338,133.65,136.24,136.45,131.29,1736917200000000000,1417208
2025-01-16,NVDA,209235583,138.64,133.57,138.75,133.49,1737003600000000000,1535426
2025-01-17,NVDA,201188760,136.69,137.71,138.5,135.4649,1737090000000000000,1181517
2025-01-21,NVDA,197748985,139.16,140.83,141.83,137.09,1737435600000000000,1541532
2025-01-22,NVDA,237651395,144.66,147.07,147.79,143.67,1737522000000000000,1837719
2025-01-23,NVDA,155915549,145.05,147.22,147.23,143.72,1737608400000000000,1198401
2025-01-24,NVDA,234657635,148.37,142.62,148.97,141.88,1737694800000000000,1737315
2025-01-27,NVDA,818830895,124.8,118.42,128.4,116.7,1737954000000000000,7844400
2025-01-28,NVDA,579666350,121.81,128.99,129.0,116.25,1738040400000000000,4800280
2025-01-29,NVDA,467120640,126.5,123.7,126.89,120.05,1738126800000000000,3656028
2025-01-30,NVDA,392925469,123.1,124.65,125.0,118.1,1738213200000000000,3255609
2025-01-31,NVDA,390372899,123.78,120.07,127.85,119.19,1738299600000000000,2869782
2025-02-03,NVDA,371235677,114.75,116.66,118.57,113.01,1738558800000000000,3400289
2025-02-04,NVDA,256550040,116.96,118.65,121.2,116.7,1738645200000000000,1841343
2025-02-05,NVDA,263110629,121.76,124.83,125.0,120.76,1738731600000000000,1968160
2025-02-06,NVDA,251483574,127.42,128.68,128.77,125.21,1738818000000000000,1856074
2025-02-07,NVDA,228186298,129.22,129.84,130.37,125.0,1738904400000000000,1778853
2025-02-10,NVDA,216989086,130.09,133.57,135.0,129.96,1739163600000000000,1658356
2025-02-11,NVDA,178902379,132.58,132.8,134.48,131.02,1739250000000000000,1292631
2025-02-12,NVDA,160278552,130.02,131.14,132.24,129.08,1739336400000000000,1245659
2025-02-13,NVDA,197429975,131.555,135.29,136.5,131.17,1739422800000000000,1474254
2025-02-14,NVDA,195479557,136.48,138.85,139.25,135.5,1739509200000000000,1410264
2025-02-18,NVDA,219176627,141.27,139.4,143.44,137.925,1739854800000000000,1648114
2025-02-19,NVDA,167536006,139.51,139.23,141.36,137.22,1739941200000000000,1208219
2025-02-20,NVDA,143903583,140.03,140.11,140.66,136.7901,1740027600000000000,1109777
2025-02-21,NVDA,228217585,140.04,134.43,141.46,134.03,1740114000000000000,1612386
2025-02-24,NVDA,251381137,136.56,130.28,138.59,130.08,1740373200000000000,1967950
2025-02-25,NVDA,271428711,129.98,126.63,130.2,124.44,1740459600000000000,2393749
2025-02-26,NVDA,322553814,129.985,131.28,133.73,128.49,1740546000000000000,2474759
2025-02-27,NVDA,443175846,135.0,120.15,135.01,120.01,1740632400000000000,3751272
2025-02-28,NVDA,389091145,118.02,124.92,125.09,116.4,1740718800000000000,3060607
2025-03-03,NVDA,411381373,123.51,114.06,123.7,112.28,1740978000000000000,3664170
2025-03-04,NVDA,398163305,110.645,115.99,119.31,110.11,1741064400000000000,3345028
2025-03-05,NVDA,284337886,117.58,117.3,118.2781,114.51,1741150800000000000,2170862
2025-03-06,NVDA,321181861,113.53,110.57,115.35,110.22,1741237200000000000,2756085
2025-03-07,NVDA,341755468,111.25,112.69,113.48,107.56,1741323600000000000,2969276
2025-03-10,NVDA,366487363,109.9,106.98,111.85,105.46,1741579200000000000,3278111
2025-03-11,NVDA,354865692,106.99,108.76,112.236,104.77,1741665600000000000,3051235
2025-03-12,NVDA,323857454,114.12,115.74,116.76,112.88,1741752000000000000,2583514
2025-03-13,NVDA,299033131,117.03,115.58,117.76,113.79,1741838400000000000,2246590
2025-03-14,NVDA,277593455,118.61,121.67,121.88,118.15,1741924800000000000,1948613
2025-03-17,NVDA,255501481,122.74,119.53,122.89,118.03,1742184000000000000,1950225
2025-03-18,NVDA,299686944,118.0,115.43,119.02,114.54,1742270400000000000,2211483
2025-03-19,NVDA,273426225,117.27,117.52,120.445,115.68,1742356800000000000,1865150
2025-03-20,NVDA,248829749,116.55,118.53,120.2,116.47,1742443200000000000,1579521
2025-03-21,NVDA,266498528,116.94,117.7,117.99,115.42,1742529600000000000,1393384
2025-03-24,NVDA,228452534,119.88,121.41,122.22,119.34,1742788800000000000,1481319
2025-03-25,NVDA,167447198,120.545,120.69,121.29,118.92,1742875200000000000,1190382
2025-03-26,NVDA,296431667,118.73,113.76,118.84,112.71,1742961600000000000,2420079
2025-03-27,NVDA,236902055,111.35,111.43,114.45,110.66,1743048000000000000,1790812
2025-03-28,NVDA,229872549,111.485,109.67,112.87,109.0701,1743134400000000000,1847538
2025-03-31,NVDA,299212653,105.13,108.38,110.955,103.65,1743393600000000000,2328692
2025-04-01,NVDA,222614034,108.515,110.15,110.2,106.47,1743480000000000000,1780615
2025-04-02,NVDA,220601243,107.29,110.42,111.98,106.79,1743566400000000000,1721288
2025-04-03,NVDA,338769412,103.51,101.8,105.63,101.6,1743652800000000000,3041140
2025-04-04,NVDA,532273810,98.91,94.31,100.13,92.11,1743739200000000000,4607015
2025-04-07,NVDA,611041347,87.46,97.64,101.75,86.62,1743998400000000000,5164576
2025-04-08,NVDA,476243392,103.805,96.3,105.85,94.46,1744084800000000000,3957084
2025-04-09,NVDA,612918336,98.89,114.33,115.1,97.5301,1744171200000000000,4970682
2025-04-10,NVDA,437812353,109.37,107.57,110.86,99.15,1744257600000000000,3646231
2025-04-11,NVDA,313417265,108.5,110.93,111.5499,107.48,1744344000000000000,2349313
2025-04-14,NVDA,264705049,114.11,110.71,114.29,109.07,1744603200000000000,2091367
2025-04-15,NVDA,228966900,110.97,112.2,113.615,110.5,1744689600000000000,1711150
2025-04-16,NVDA,397016870,104.55,104.49,106.79,100.45,1744776000000000000,2997727
2025-04-17,NVDA,292517465,104.45,101.49,104.47,100.05,1744862400000000000,1987627
2025-04-21,NVDA,288501136,98.77,96.91,99.44,95.04,1745208000000000000,2351668
2025-04-22,NVDA,241004784,98.78,98.89,99.811,97.28,1745294400000000000,1773406
2025-04-23,NVDA,247525971,104.52,102.71,104.8,102.02,1745380800000000000,2016301
2025-04-24,NVDA,220815041,103.475,106.43,106.54,103.11,1745467200000000000,1528996
2025-04-25,NVDA,251064672,106.85,111.01,111.92,105.73,1745553600000000000,1849919
2025-04-28,NVDA,207708479,109.69,108.73,110.3699,106.02,1745812800000000000,1513027
2025-04-29,NVDA,170444263,107.67,109.02,110.1999,107.44,1745899200000000000,1235756
2025-04-30,NVDA,235044611,104.47,108.92,108.92,104.08,1745985600000000000,1634087
2025-05-01,NVDA,236121507,113.08,111.61,114.94,111.3,1746072000000000000,1766590
2025-05-02,NVDA,190194778,114.18,114.5,115.4,113.37,1746158400000000000,1398564
2025-05-05,NVDA,133163241,112.905,113.82,114.665,112.66,1746417600000000000,965139
2025-05-06,NVDA,158525621,111.48,113.54,114.74,110.822,1746504000000000000,1085874
2025-05-07,NVDA,207827821,113.045,117.06,117.68,112.2818,1746590400000000000,1511659
2025-05-08,NVDA,198428122,118.25,117.37,118.68,115.85,1746676800000000000,1477589
2025-05-09,NVDA,132972189,117.35,116.65,118.23,115.21,1746763200000000000,1062245
2025-05-12,NVDA,225023345,121.97,123.0,123.0,120.28,1747022400000000000,1681722
2025-05-13,NVDA,330430105,124.98,129.93,131.2189,124.47,1747108800000000000,2570463
2025-05-14,NVDA,281180830,133.195,135.34,135.435,131.68,1747195200000000000,2234234
2025-05-15,NVDA,226632563,134.295,134.83,136.3,132.66,1747281600000000000,1837533
2025-05-16,NVDA,226542451,136.22,135.4,136.35,133.46,1747368000000000000,1596615
2025-05-19,NVDA,193154571,132.39,135.57,135.87,132.39,1747627200000000000,1473589
2025-05-20,NVDA,161514247,134.29,134.38,134.58,132.62,1747713600000000000,1239389
2025-05-21,NVDA,270608738,133.06,131.8,137.4,130.59,1747800000000000000,2066168
2025-05-22,NVDA,187343954,132.23,132.83,134.25,131.55,1747886400000000000,1424631
2025-05-23,NVDA,198821324,130.0,131.29,132.68,129.16,1747972800000000000,1609459
2025-05-27,NVDA,192953613,134.15,135.5,135.66,133.31,1748318400000000000,1516016
2025-05-28,NVDA,304021146,136.025,134.81,137.25,134.79,1748404800000000000,2340157
2025-05-29,NVDA,370615167,142.245,139.19,143.49,137.91,1748491200000000000,2927744
2025-05-30,NVDA,333170851,138.715,135.13,139.62,132.92,1748577600000000000,2308966
2025-06-02,NVDA,197663116,135.49,137.38,138.12,135.4,1748836800000000000,1475418
2025-06-03,NVDA,225578783,138.78,141.22,142.0,137.95,1748923200000000000,1702343
2025-06-04,NVDA,167120819,142.19,141.92,142.39,139.545,1749009600000000000,1315997
2025-06-05,NVDA,232410759,142.17,139.99,144.0,138.83,1749096000000000000,1874299
2025-06-06,NVDA,153986153,142.51,141.72,143.27,141.51,1749182400000000000,1312670
2025-06-09,NVDA,185114494,143.19,142.63,145.0,141.94,1749441600000000000,1524850
2025-06-10,NVDA,155881897,142.69,143.96,144.29,141.525,1749528000000000000,1257371
2025-06-11,NVDA,167694044,144.61,142.83,144.99,141.87,1749614400000000000,1429440
2025-06-12,NVDA,162364991,141.97,145.0,145.0,141.85,1749700800000000000,1303436
2025-06-13,NVDA,180820565,142.48,141.97,143.58,140.855,1749787200000000000,1479208
2025-06-16,NVDA,183133666,143.345,144.69,146.175,143.2001,1750046400000000000,1517104
2025-06-17,NVDA,139108000,144.49,144.12,145.22,143.78,1750132800000000000,1141208
2025-06-18,NVDA,161494121,144.005,145.48,145.65,143.12,1750219200000000000,1201971
2025-06-20,NVDA,242956157,145.45,143.85,146.2,142.65,1750392000000000000,1438639
2025-06-23,NVDA,154308941,142.5,144.17,144.78,142.03,1750651200000000000,1320018
2025-06-24,NVDA,187566121,145.56,147.9,147.96,145.5,1750737600000000000,1346281
2025-06-25,NVDA,269146471,149.27,154.31,154.45,149.26,1750824000000000000,2184995
2025-06-26,NVDA,198145746,155.975,155.02,156.715,154.0,1750910400000000000,1690317
2025-06-27,NVDA,263234539,156.04,157.75,158.71,155.255,1750996800000000000,1716736
2025-06-30,NVDA,194580316,158.4,157.99,158.66,155.96,1751256000000000000,1378079
2025-07-01,NVDA,213143621,156.29,153.3,157.2,151.49,1751342400000000000,1737082
2025-07-02,NVDA,171224111,152.98,157.25,157.6,152.97,1751428800000000000,1372619
2025-07-03,NVDA,143716055,158.37,159.34,160.98,157.77,1751515200000000000,1132040
2025-07-07,NVDA,140138975,158.2,158.24,159.31,157.342,1751860800000000000,1224694
2025-07-08,NVDA,138133025,159.33,160.0,160.22,158.39,1751947200000000000,1122687
2025-07-09,NVDA,183656443,161.22,162.88,164.42,161.16,1752033600000000000,1498691
2025-07-10,NVDA,167704075,164.32,164.1,164.5,161.61,1752120000000000000,1476840
2025-07-11,NVDA,193633263,163.715,164.92,167.89,163.47,1752206400000000000,1615907
2025-07-14,NVDA,136975754,165.37,164.07,165.49,162.02,1752465600000000000,1358105
