date,ticker,volume,open,close,high,low,window_start,transactions
2025-01-02,SOXX,2409284,217.68,216.82,220.22,214.96,1735794000000000000,37724
2025-01-03,SOXX,2624311,218.25,222.47,223.04,217.96,1735880400000000000,43080
2025-01-06,SOXX,4176463,227.26,228.91,231.8,227.26,1736139600000000000,61509
2025-01-07,SOXX,3694760,231.7,225.79,231.89,224.56,1736226000000000000,54028
2025-01-08,SOXX,3141824,225.05,223.54,225.46,221.11,1736312400000000000,47422
2025-01-10,SOXX,4037986,220.74,218.2,220.88,216.78,1736485200000000000,56639
2025-01-13,SOXX,2309950,213.85,217.53,217.84,213.66,1736744400000000000,40379
2025-01-14,SOXX,1492750,219.35,218.96,220.75,216.121,1736830800000000000,28139
2025-01-15,SOXX,2900152,222.48,223.21,224.65,221.67,1736917200000000000,39957
2025-01-16,SOXX,3029480,227.25,223.54,227.79,223.53,1737003600000000000,42071
2025-01-17,SOXX,3785506,228.58,229.74,230.32,227.3591,1737090000000000000,44535
2025-01-21,SOXX,3201458,231.81,232.45,234.58,229.8,1737435600000000000,41801
2025-01-22,SOXX,3461054,234.83,235.81,238.34,234.32,1737522000000000000,46508
2025-01-23,SOXX,2567085,232.03,235.37,235.38,231.18,1737608400000000000,37221
2025-01-24,SOXX,2229926,235.475,230.64,235.475,229.71,1737694800000000000,35901
2025-01-27,SOXX,16943563,219.0,212.55,219.61,209.74,1737954000000000000,193850
2025-01-28,SOXX,9118291,213.62,213.5,214.77,208.98,1738040400000000000,107416
2025-01-29,SOXX,2430750,215.56,214.38,216.18,212.15,1738126800000000000,38408
2025-01-30,SOXX,4653826,217.01,218.74,219.99,215.76,1738213200000000000,56708
2025-01-31,SOXX,3870302,219.99,218.13,224.29,217.47,1738299600000000000,52730
2025-02-03,SOXX,3646784,212.39,214.2,216.85,210.96,1738558800000000000,64729
2025-02-04,SOXX,3742276,213.72,216.4,217.27,213.425,1738645200000000000,44585
2025-02-05,SOXX,2200543,215.83,220.59,221.04,214.48,1738731600000000000,34836
2025-02-06,SOXX,3111652,219.05,220.3,220.7,217.88,1738818000000000000,39097
2025-02-07,SOXX,3297641,220.81,216.87,222.08,215.39,1738904400000000000,54170
2025-02-10,SOXX,2698566,218.45,219.7,220.25,218.42,1739163600000000000,31815
2025-02-11,SOXX,1550036,217.89,219.9,221.17,217.89,1739250000000000000,26584
2025-02-12,SOXX,2017516,216.44,220.14,220.22,215.95,1739336400000000000,31250
2025-02-13,SOXX,2546770,219.95,222.84,222.99,219.885,1739422800000000000,32792
2025-02-14,SOXX,1566517,222.82,223.07,223.77,221.92,1739509200000000000,23350
2025-02-18,SOXX,3605031,224.7,226.76,227.47,223.47,1739854800000000000,44584
2025-02-19,SOXX,2635670,227.15,230.53,231.62,226.26,1739941200000000000,38189
2025-02-20,SOXX,2642349,231.995,231.07,233.44,228.75,1740027600000000000,41114
2025-02-21,SOXX,2946986,231.76,223.98,231.85,223.13,1740114000000000000,45795
2025-02-24,SOXX,3372810,224.97,218.72,225.34,218.54,1740373200000000000,52054
2025-02-25,SOXX,3514151,218.45,214.21,219.2225,213.58,1740459600000000000,62579
2025-02-26,SOXX,2562568,216.95,217.94,219.8,215.58,1740546000000000000,41666
2025-02-27,SOXX,4349108,219.18,205.25,219.5,204.92,1740632400000000000,68766
2025-02-28,SOXX,3722143,205.37,208.52,210.05,203.12,1740718800000000000,61269
2025-03-03,SOXX,5067773,211.51,201.15,211.65,199.32,1740978000000000000,76278
2025-03-04,SOXX,5487928,200.8,202.27,207.62,196.7,1741064400000000000,80898
2025-03-05,SOXX,3312542,204.54,206.63,207.29,200.57,1741150800000000000,54305
2025-03-06,SOXX,5088703,199.58,198.04,203.72,197.33,1741237200000000000,76533
2025-03-07,SOXX,3713680,198.8,203.85,204.54,196.48,1741323600000000000,53193
2025-03-10,SOXX,5410827,198.82,194.42,200.28,191.5608,1741579200000000000,86285
2025-03-11,SOXX,3776566,194.52,192.12,196.31,189.11,1741665600000000000,64527
2025-03-12,SOXX,3143006,196.7,196.08,198.69,194.32,1741752000000000000,44909
2025-03-13,SOXX,2504164,196.07,195.1,199.24,193.18,1741838400000000000,36998
2025-03-14,SOXX,3696844,198.5,201.12,201.705,198.32,1741924800000000000,44558
2025-03-17,SOXX,2743139,200.31,204.44,206.26,200.21,1742184000000000000,42341
2025-03-18,SOXX,2470833,202.11,201.47,203.05,200.18,1742270400000000000,44299
2025-03-19,SOXX,2330806,201.495,203.11,206.43,200.0,1742356800000000000,41464
2025-03-20,SOXX,2265887,200.52,201.49,203.72,200.36,1742443200000000000,29846
2025-03-21,SOXX,2873367,197.94,199.38,200.14,196.37,1742529600000000000,42453
2025-03-24,SOXX,3947023,203.57,205.3,206.66,203.33,1742788800000000000,44285
2025-03-25,SOXX,1419149,205.05,204.19,205.71,203.56,1742875200000000000,23931
2025-03-26,SOXX,3693809,203.22,198.47,204.06,196.44,1742961600000000000,55036
2025-03-27,SOXX,3545897,195.87,194.56,197.04,193.38,1743048000000000000,55490
2025-03-28,SOXX,4122301,193.29,188.68,194.24,187.44,1743134400000000000,64508
2025-03-31,SOXX,3843006,184.7,188.17,188.3,182.12,1743393600000000000,63531
2025-04-01,SOXX,3108828,187.45,188.27,188.34,183.8,1743480000000000000,50983
2025-04-02,SOXX,2784763,185.39,189.48,192.02,184.73,1743566400000000000,45434
2025-04-03,SOXX,9982623,179.75,170.36,181.14,169.99,1743652800000000000,157846
2025-04-04,SOXX,13988416,163.92,157.63,165.765,154.61,1743739200000000000,185836
2025-04-07,SOXX,18686463,152.03,161.27,170.42,148.31,1743998400000000000,213195
2025-04-08,SOXX,11023304,167.64,154.86,169.85,151.11,1744084800000000000,161121
2025-04-09,SOXX,23539516,156.1,183.62,185.56,154.94,1744171200000000000,259317
2025-04-10,SOXX,14499042,174.56,168.61,175.65,162.39,1744257600000000000,180331
2025-04-11,SOXX,9890868,166.975,172.26,173.11,164.42,1744344000000000000,102826
2025-04-14,SOXX,5657369,177.55,173.4,177.55,170.79,1744603200000000000,69087
2025-04-15,SOXX,3201102,174.32,174.11,176.625,173.25,1744689600000000000,48229
2025-04-16,SOXX,10204993,166.33,167.39,169.58,161.83,1744776000000000000,117327
2025-04-17,SOXX,4920975,168.57,166.55,168.75,164.81,1744862400000000000,68684
2025-04-21,SOXX,4769663,163.14,163.64,163.9,160.26,1745208000000000000,64692
2025-04-22,SOXX,4995995,165.23,166.82,168.02,164.62,1745294400000000000,52185
2025-04-23,SOXX,7323834,175.25,173.07,177.14,172.35,1745380800000000000,67699
2025-04-24,SOXX,6873428,177.8,183.03,183.56,176.54,1745467200000000000,69698
2025-04-25,SOXX,4224852,181.2,184.81,186.12,180.66,1745553600000000000,48603
2025-04-28,SOXX,2875390,183.89,184.48,185.76,180.44,1745812800000000000,40543
2025-04-29,SOXX,3526968,182.24,182.51,184.54,181.2516,1745899200000000000,43970
2025-04-30,SOXX,3580528,178.0,183.84,184.38,176.7686,1745985600000000000,52798
2025-05-01,SOXX,3997602,186.0,183.59,187.35,183.47,1746072000000000000,48930
2025-05-02,SOXX,4581424,187.95,190.03,191.87,187.83,1746158400000000000,51617
2025-05-05,SOXX,3323225,188.19,188.57,190.46,187.925,1746417600000000000,35626
2025-05-06,SOXX,2844559,185.26,186.77,188.25,184.268,1746504000000000000,39716
2025-05-07,SOXX,3002722,186.58,190.04,190.58,184.81,1746590400000000000,40581
2025-05-08,SOXX,3457666,192.51,191.74,195.035,190.47,1746676800000000000,50888
2025-05-09,SOXX,2808480,194.475,193.94,195.63,192.28,1746763200000000000,37403
2025-05-12,SOXX,10675629,206.8,207.87,209.39,204.99,1747022400000000000,131910
2025-05-13,SOXX,5693582,208.7,213.76,214.82,208.41,1747108800000000000,84620
2025-05-14,SOXX,4162837,215.21,214.79,216.7,213.21,1747195200000000000,64352
2025-05-15,SOXX,4216879,212.69,213.41,215.0,210.91,1747281600000000000,65735
2025-05-16,SOXX,2521507,213.56,213.13,213.56,210.68,1747368000000000000,38590
2025-05-19,SOXX,5334720,208.22,211.85,212.39,208.17,1747627200000000000,77780
2025-05-20,SOXX,2968043,210.04,211.54,211.62,209.41,1747713600000000000,39749
2025-05-21,SOXX,5007748,209.75,207.67,213.9,206.35,1747800000000000000,91223
2025-05-22,SOXX,5397309,207.525,205.75,209.47,205.58,1747886400000000000,106657
2025-05-23,SOXX,9527915,200.47,202.56,203.66,199.93,1747972800000000000,123259
2025-05-27,SOXX,6057596,206.96,209.29,210.23,205.27,1748318400000000000,100984
2025-05-28,SOXX,6769206,209.84,208.24,210.46,207.75,1748404800000000000,117831
2025-05-29,SOXX,8602757,213.025,209.09,213.17,207.75,1748491200000000000,158955
2025-05-30,SOXX,10781006,207.815,204.94,207.87,201.115,1748577600000000000,195686
2025-06-02,SOXX,6034911,204.42,208.03,208.83,204.29,1748836800000000000,119780
2025-06-03,SOXX,8905096,208.145,213.62,214.14,206.71,1748923200000000000,150842
2025-06-04,SOXX,7339525,215.39,216.8,217.62,213.54,1749009600000000000,153501
