Date,Series,Value
2025-01-15,Average Tone,0.738
2025-01-16,Average Tone,1.2697
2025-01-17,Average Tone,0.9642
2025-01-18,Average Tone,0.6023
2025-01-19,Average Tone,0.7764
2025-01-20,Average Tone,0.7485
2025-01-21,Average Tone,1.1272
2025-01-22,Average Tone,1.283
2025-01-23,Average Tone,0.7484
2025-01-24,Average Tone,1.0194
2025-01-25,Average Tone,1.0944
2025-01-26,Average Tone,1.1755
2025-01-27,Average Tone,0.3446
2025-01-28,Average Tone,-0.1038
2025-01-29,Average Tone,0.1283
2025-01-30,Average Tone,0.7076
2025-01-31,Average Tone,0.3413
2025-02-01,Average Tone,0.3949
2025-02-02,Average Tone,0.3975
2025-02-03,Average Tone,-0.3616
2025-02-04,Average Tone,-0.0059
2025-02-05,Average Tone,-0.4954
2025-02-06,Average Tone,0.444
2025-02-07,Average Tone,0.6273
2025-02-08,Average Tone,0.8847
2025-02-09,Average Tone,0.9572
2025-02-10,Average Tone,0.4348
2025-02-11,Average Tone,0.5607
2025-02-12,Average Tone,0.4073
2025-02-13,Average Tone,0.7732
2025-02-14,Average Tone,0.6201
2025-02-15,Average Tone,1.1409
2025-02-16,Average Tone,0.5369
2025-02-17,Average Tone,0.7199
2025-02-18,Average Tone,1.2
2025-02-19,Average Tone,0.8484
2025-02-20,Average Tone,1.3249
2025-02-21,Average Tone,0.478
2025-02-22,Average Tone,-0.1452
2025-02-23,Average Tone,0.365
2025-02-24,Average Tone,0.0819
2025-02-25,Average Tone,-0.1502
2025-02-26,Average Tone,0.199
2025-02-27,Average Tone,0.6442
2025-02-28,Average Tone,-0.8018
2025-03-01,Average Tone,0.0722
2025-03-02,Average Tone,0.1888
2025-03-03,Average Tone,0.0415
2025-03-04,Average Tone,-0.1563
2025-03-05,Average Tone,0.4373
2025-03-06,Average Tone,0.0822
2025-03-07,Average Tone,0.047
2025-03-08,Average Tone,0.6876
2025-03-09,Average Tone,0.8625
2025-03-10,Average Tone,-1.1693
2025-03-11,Average Tone,-1.2822
2025-03-12,Average Tone,-0.767
2025-03-13,Average Tone,-0.3051
2025-03-14,Average Tone,-0.0068
2025-03-15,Average Tone,0.2376
