project,article,granularity,timestamp,access,agent,views
en.wikipedia,Nvidia,daily,2025011500,all-access,all-agents,10027
en.wikipedia,Nvidia,daily,2025011600,all-access,all-agents,10387
en.wikipedia,Nvidia,daily,2025011700,all-access,all-agents,9807
en.wikipedia,Nvidia,daily,2025011800,all-access,all-agents,8263
en.wikipedia,Nvidia,daily,2025011900,all-access,all-agents,8212
en.wikipedia,Nvidia,daily,2025012000,all-access,all-agents,9081
en.wikipedia,Nvidia,daily,2025012100,all-access,all-agents,9943
en.wikipedia,Nvidia,daily,2025012200,all-access,all-agents,11747
en.wikipedia,Nvidia,daily,2025012300,all-access,all-agents,11347
en.wikipedia,Nvidia,daily,2025012400,all-access,all-agents,9987
en.wikipedia,Nvidia,daily,2025012500,all-access,all-agents,8763
en.wikipedia,Nvidia,daily,2025012600,all-access,all-agents,8728
en.wikipedia,Nvidia,daily,2025012700,all-access,all-agents,38395
en.wikipedia,Nvidia,daily,2025012800,all-access,all-agents,71293
en.wikipedia,Nvidia,daily,2025012900,all-access,all-agents,38932
en.wikipedia,Nvidia,daily,2025013000,all-access,all-agents,24068
en.wikipedia,Nvidia,daily,2025013100,all-access,all-agents,19327
en.wikipedia,Nvidia,daily,2025020100,all-access,all-agents,14184
en.wikipedia,Nvidia,daily,2025020200,all-access,all-agents,12082
en.wikipedia,Nvidia,daily,2025020300,all-access,all-agents,13524
en.wikipedia,Nvidia,daily,2025020400,all-access,all-agents,10931
en.wikipedia,Nvidia,daily,2025020500,all-access,all-agents,10114
en.wikipedia,Nvidia,daily,2025020600,all-access,all-agents,9598
en.wikipedia,Nvidia,daily,2025020700,all-access,all-agents,8848
en.wikipedia,Nvidia,daily,2025020800,all-access,all-agents,7304
en.wikipedia,Nvidia,daily,2025020900,all-access,all-agents,6595
en.wikipedia,Nvidia,daily,2025021000,all-access,all-agents,7690
en.wikipedia,Nvidia,daily,2025021100,all-access,all-agents,7740
en.wikipedia,Nvidia,daily,2025021200,all-access,all-agents,7309
en.wikipedia,Nvidia,daily,2025021300,all-access,all-agents,7601
en.wikipedia,Nvidia,daily,2025021400,all-access,all-agents,7227
en.wikipedia,Nvidia,daily,2025021500,all-access,all-agents,6159
en.wikipedia,Nvidia,daily,2025021600,all-access,all-agents,6278
en.wikipedia,Nvidia,daily,2025021700,all-access,all-agents,6973
en.wikipedia,Nvidia,daily,2025021800,all-access,all-agents,7094
en.wikipedia,Nvidia,daily,2025021900,all-access,all-agents,7234
en.wikipedia,Nvidia,daily,2025022000,all-access,all-agents,6768
en.wikipedia,Nvidia,daily,2025022100,all-access,all-agents,6540
en.wikipedia,Nvidia,daily,2025022200,all-access,all-agents,5933
en.wikipedia,Nvidia,daily,2025022300,all-access,all-agents,5874
en.wikipedia,Nvidia,daily,2025022400,all-access,all-agents,7330
en.wikipedia,Nvidia,daily,2025022500,all-access,all-agents,8113
en.wikipedia,Nvidia,daily,2025022600,all-access,all-agents,10773
en.wikipedia,Nvidia,daily,2025022700,all-access,all-agents,13390
en.wikipedia,Nvidia,daily,2025022800,all-access,all-agents,9075
en.wikipedia,Nvidia,daily,2025030100,all-access,all-agents,7386
en.wikipedia,Nvidia,daily,2025030200,all-access,all-agents,6896
en.wikipedia,Nvidia,daily,2025030300,all-access,all-agents,8385
en.wikipedia,Nvidia,daily,2025030400,all-access,all-agents,9594
en.wikipedia,Nvidia,daily,2025030500,all-access,all-agents,8674
en.wikipedia,Nvidia,daily,2025030600,all-access,all-agents,7665
en.wikipedia,Nvidia,daily,2025030700,all-access,all-agents,7382
en.wikipedia,Nvidia,daily,2025030800,all-access,all-agents,5892
en.wikipedia,Nvidia,daily,2025030900,all-access,all-agents,6578
en.wikipedia,Nvidia,daily,2025031000,all-access,all-agents,7563
en.wikipedia,Nvidia,daily,2025031100,all-access,all-agents,7636
en.wikipedia,Nvidia,daily,2025031200,all-access,all-agents,7412
en.wikipedia,Nvidia,daily,2025031300,all-access,all-agents,6618
en.wikipedia,Nvidia,daily,2025031400,all-access,all-agents,6411
en.wikipedia,Nvidia,daily,2025031500,all-access,all-agents,5917
